"stil","ime_nemscina","opis_materiala_nemscina","opis_artikla_nemscina"
"01.0C01","Workwear T-Shirt","185g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle","2-lagiger Kragen und Bündchen in 1x1 Rippstrick mit Lycra®, eingesetzte Ärmel, vorgezogene Schulternaht mit Flatlock-Nähten verstärkt, 60° waschbar, trocknergeeignet"
"01.0C10","Workwear Piqué Polo","230g/m², 100% einlaufvorbehandelte gekämmte ringgesponnene Baumwolle, Piqué-Qualität","Kragen und Bündchen in 1x1 Rippstrick, 3er Knopfleiste Ton-in-Ton, Veredelungszugang im Brustbereich, 60° waschbar, trocknergeeignet"
"01.0C11","Workwear Piqué Polo","200g/m², 65% Polyester, 35% einlaufvorbehandelte gekämmte ringgesponnene Baumwolle","Kragen und Bündchen in 1x1 Rippstrick, 3er Knopfleiste Ton-in-Ton, angesetzte Ärmel, Veredelungszugang im Brustbereich, 60° waschbar, trocknergeeignet"
"01.0C12","Workwear Funktions Polo","200g/m², 100% Polyester COOLDRY™","Atmungsaktiv, 3er Knopfleiste Ton-in-Ton, Ärmel mit weitem Bund, aufgesetzte Brusttasche, feuchtigkeitsregulierend, 60° waschbar"
"01.0C20","Workwear Sweater","280g/m², 80% gekämmte ringgesponnene Baumwolle, 20% Polyester","Workwear-Style, 2x2 Rippstrickkragen und Ärmelbündchen, Kragen verstärkt, Fischgrät-Nackenband, angesetzte Ärmel, eingesetzte Ärmel, Bündchen und Bund in 2x2 Rippstrick mit Elasthan, Flatlock-Schulternähte, Halbmondbesatz, Aufhänger, geringes Einlaufen, 60° waschbar"
"01.0C40","Workwear Bodywarmer","200g/m², Außen: 100% windfestes Ripstop Polyester, Innenfutter: 100% Polyester Wattierung","Wasserabweisend und winddicht, Kragen mit Microfleece-Futter, 3 Klettverschlüsse und 2 Druckknöpfe für Windpatte, Reißverschluss mit Kinnschutz, 11 Multifunktionstaschen, doppelte Nähte, länger geschnittener Rücken, Paspel vorne, elastische Windprotektoren"
"01.0C50","Workwear Hose","245g/m², 65% Polyester, 35% gekämmter Baumwoll-Twill","Größere Gürtelschlaufen hinten, Gummiband hinten für Anpassung der Bundweite, breiterer Saum an Hosenbeinen für bessere Anpassung der richtigen Beinlänge (Verlängerung 5cm), diverse Funktionstaschen, Innentasche für Knieschützer verstärkt mit Oxford-Gewebe, Seitentaschen mit Klappe und Velcro®-Klettverschluss, halb lose Zollstocktasche für bessere Bewegungsfreiheit, Riegelnaht an besonders beanspruchten Stellen, Nähte verstärkt, Ring zum Befestigen von Karte, Schlüssel, etc., 60° waschbar, trocknergeeignet"
"01.0C51","Workwear Multipocket Hose","245g/m², 65% Polyester, 35% gekämmter Baumwoll-Twill","Gummiband hinten für Anpassung der Bundweite, viele Funktionstaschen, mit Cordura® verstärkte Innentasche für Knieschützer, tiefe doppelte Tasche vorne zur Aufbewahrung der losen Taschen wenn diese nicht benutzt werden, große lose Taschen für mehr Tragekomfort beim Arbeiten, Riegelnaht an besonders beanspruchten Stellen, Nähte verstärkt, Schlaufe für Hammer auf jeder Hosenseite, Velcro®-Befestigungssystem für schnelles und einfaches Befestigen der Werkzeugtaschen, 60° waschbar, trocknergeeignet"
"01.0I12","Herren Piqué Polo langarm","180g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, heather grey: 90% Baumwolle, 10% Viskose","Kragen in flachem 1x1 Rippstrick, 2er Knopfleiste verstärkt mit Knöpfen Ton-in-Ton, Nackenband"
"01.0I13","Damen Piqué Polo langarm","180g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, heather grey: 90% Baumwolle, 10% Viskose","Taillierter Schnitt, Kragen in flachem 1x1 Rippstrick, 2er Knopfleiste verstärkt mit Knöpfen Ton-in-Ton, Nackenband"
"01.0L09","Stretch Bluse langarm","135g/m², 97% gekämmte Baumwolle, 3% Elasthan","Sehr taillierter Schnitt, verdeckte Knopfleiste, abgerundeter Saum, mit trendigem Einsatz"
"01.0P21","Popeline Stretch Hemd langarm","135g/m², 97% gekämmte Baumwolle, 3% Elasthan, Popeline","Cutaway Kragen mit 2 Knöpfen, eckige, mit 2 Knöpfen verstellbare Manschetten und zusätzlichen Knopflöchern für Manschettenknöpfe, abgerundeter Saum unten mit eckigen Seitenverstärkungen, letztes Knopfloch quer, 2 Ersatzknöpfe, im Kreuzstich angenähte, Perlmuttknöpfe Ton-in-Ton, Abnäher am Rückenteil, kann auch über dem Bund getragen werden, moderate Länge"
"01.0P22","Popeline Stretch Hemd kurzarm","135g/m², 97% gekämmte Baumwolle, 3% Elasthan","Cutaway Kragen mit Stäbchen und elastischer Fixierung, abgerundeter Saum unten mit eckigen Seitenverstärkungen, letztes Knopfloch quer, 1 Ersatzknopf, im Kreuzstich angenähte, Perlmuttknöpfe Ton-in-Ton, Doppelfaltnaht seitlich und an den Ärmeln, Abnäher am Rückenteil"
"01.0P23","Popeline Stretch Bluse langarm","135g/m², 97% gekämmte Baumwolle, 3% Elasthan, Popeline","Sanft geschwungener weiblicher Kragen, eckige, mit 2 Knöpfen verstellbare Manschetten und zusätzlichen Knopflöchern für Manschettenknöpfe, abgerundeter Saum unten, im Kreuzstich angenähte passende Perlmuttknöpfe, letztes Knopfloch quer, 1 Ersatzknopf, Abnäher an Brust, Vorder- und Rückenteil, kann auch über dem Bund getragen werden, weiches Popelinematerial mit Stretch"
"01.0P24","Popeline Stretch Bluse kurzarm","135g/m², 97% gekämmte Baumwolle, 3% Elasthan","Weiblicher Kragen, gefaltete Ärmelmanschette, abgerundeter Saum unten, im Kreuzstich angenähte passende Perlmuttknöpfe, letztes Knopfloch quer, 1 Ersatzknopf, Abnäher an Brust, Vorder- und Rückenteil, kann auch über dem Bund getragen werden, weiches Popelinematerial mit Stretch"
"01.0P41","Popeline Hemd langarm","125g/m², 100% gekämmte Baumwolle","Cutaway Kragen mit Stäbchen und elastischer Fixierung, Manschettenstulpen mit Knopf, abgerundeter Saum unten mit eckigen Seitenverstärkungen, gerade Manschette mit exklusivem Dreifachverschluss (klassisch weißer Binder mit oder ohne Manschettenknöpfe), im Kreuzstich angenähte passende Perlmuttknöpfe, letztes Knopfloch quer, 2 Ersatzknöpfe, Brusttasche links, Doppelfaltnaht seitlich und an den Ärmeln, Passe hinten mit 2 seitlichen Falten und Steppnähten, pflegeleicht, Krawattenhalter, Easy Care, 50° waschbar"
"01.0P42","Popeline Hemd kurzarm","125g/m², 100% gekämmte Baumwolle","Cutaway Kragen mit Stäbchen und elastischer Fixierung, gefaltete Ärmelmanschette, abgerundeter Saum unten mit eckigen Seitenverstärkungen, im Kreuzstich angenähte passende Perlmuttknöpfe, letztes Knopfloch quer, 1 Ersatzknopf, Brusttasche links, Doppelfaltnaht seitlich und an den Ärmeln, Passe hinten mit 2 seitlichen Falten und Steppnähten, pflegeleicht, Krawattenhalter, Easy Care, 50° waschbar"
"01.0P43","Popeline Bluse langarm","125g/m², 100% gekämmte Baumwolle","Taillierter Schnitt mit Abnäher an Brust und Rücken, sanft geschwungener weiblicher Kragen, gerade Doppelknopfmanschette mit Umschlagmanschette, Manschettenstulpen, abgerundeter Saum unten, im Kreuzstich angenähte passende Perlmuttknöpfe, letztes Knopfloch quer, 1 Ersatzknopf, pflegeleicht, Easy Care, 50° waschbar"
"01.0P44","Popeline Bluse kurzarm","125g/m², 100% gekämmte Baumwolle","Taillierter Schnitt mit Abnäher an Brust, Vorder- und Rückenteil, sanft geschwungener weiblicher Kragen, gefaltete Ärmelmanschette, abgerundeter Saum unten, im Kreuzstich angenähte passende Perlmuttknöpfe, letztes Knopfloch quer, 1 Ersatzknopf, pflegeleicht, Easy Care, 50° waschbar"
"01.0P61","Mix Popeline Hemd langarm","115g/m², 65% Polyester, 35% gekämmte Baumwolle","Cutaway Kragen mit elastischer Fixierung, eckige, mit 2 Knöpfen verstellbare Manschetten und zusätzlichen Knopflöchern für Manschettenknöpfe, abgerundeter Saum unten, im Kreuzstich angenähte passende Perlmuttknöpfe, letztes Knopfloch quer, 2 Ersatzknöpfe, 1 Ersatzknopf, Brusttasche links, Doppelfaltnaht seitlich und an den Ärmeln, Passe hinten mit 2 seitlichen Falten, Easy Care, 50° waschbar"
"01.0P62","Mix Popeline Hemd kurzarm","115g/m², 65% Polyester, 35% gekämmte Baumwolle","Cutaway Kragen mit Stäbchen und elastischer Fixierung, gefaltete Ärmelmanschette, abgerundeter Saum unten, im Kreuzstich angenähte passende Perlmuttknöpfe, letztes Knopfloch quer, 2 Ersatzknöpfe, Brusttasche links, Doppelfaltnaht seitlich und an den Ärmeln, Passe hinten mit 2 seitlichen Falten, Easy Care, 50° waschbar"
"01.0P63","Mix Popeline Bluse langarm","115g/m², 65% Polyester, 35% gekämmte Baumwolle","Taillierter Schnitt mit Abnäher an Brust, Vorder- und Rückenteil, sanft geschwungener weiblicher Kragen, eckige, mit 2 Knöpfen verstellbare Manschetten und zusätzlichen Knopflöchern für Manschettenknöpfe, Manschettenstulpen, abgerundeter Saum unten, im Kreuzstich angenähte passende Perlmuttknöpfe, letztes Knopfloch quer, 1 Ersatzknopf, Easy Care, 50° waschbar"
"01.0P64","Mix Popeline Bluse kurzarm","115g/m², 65% Polyester, 35% gekämmte Baumwolle","Taillierter Schnitt mit Abnäher an Brust, Vorder- und Rückenteil, sanft geschwungener weiblicher Kragen, gefaltete Ärmelmanschette, abgerundeter Saum unten, im Kreuzstich angenähte passende Perlmuttknöpfe, letztes Knopfloch quer, 1 Ersatzknopf, Easy Care, 50° waschbar"
"01.0T81","Twill Hemd langarm","130g/m², 100% gekämmte Baumwolle, Twill","Halber stäbchenverstärkter Cutaway Kragen mit elastischer Fixierung, eckige, mit 2 Knöpfen verstellbare Manschetten und zusätzlichen Knopflöchern für Manschettenknöpfe, abgerundeter Saum unten mit eckigen Seitenverstärkungen, im Kreuzstich angenähte passende Perlmuttknöpfe, letztes Knopfloch quer, 2 Ersatzknöpfe, Brusttasche links, Doppelfaltnaht seitlich und an den Ärmeln, Passe hinten mit 2 seitlichen Falten und Steppnähten, weiche Oberfläche, Krawattenhalter B&C Tie Fix©, Easy Care, 50° waschbar"
"01.0T82","Twill Hemd kurzarm","130g/m², 100% gekämmte Baumwolle, Twill","Halber stäbchenverstärkter Cutaway Kragen mit elastischer Fixierung, gefaltete Ärmelmanschette mit Doppelziernaht, abgerundeter Saum unten mit eckigen Seitenverstärkungen, im Kreuzstich angenähte passende Perlmuttknöpfe, letztes Knopfloch quer, 2 Ersatzknöpfe, Brusttasche links, Doppelfaltnaht seitlich und an den Ärmeln, Passe hinten mit 2 seitlichen Falten und Steppnähten, weiche Oberfläche, Krawattenhalter B&C Tie Fix©, Easy Care, 50° waschbar"
"01.0T83","Twill Bluse langarm","130g/m², 100% gekämmte Baumwolle, Twill","Taillierter Schnitt mit Abnäher an Brust, Vorder- und Rückenteil, sanft geschwungener weiblicher Kragen, eckig geschnittene einstellbare Manschette mit zusätzlichen Knopflöchern für Manschettenknöpfe, abgerundeter Saum unten, im Kreuzstich angenähte passende Perlmuttknöpfe, letztes Knopfloch quer, 1 Ersatzknopf, weiche Oberfläche, Easy Care, 50° waschbar"
"01.0T84","Twill Bluse kurzarm","130g/m², 100% gekämmte Baumwolle, Twill","Taillierter Schnitt mit Abnäher an Brust, Vorder- und Rückenteil, sanft geschwungener weiblicher Kragen, gefaltete Ärmelmanschette, abgerundeter Saum unten, im Kreuzstich angenähte passende Perlmuttknöpfe, letztes Knopfloch quer, 1 Ersatzknopf, weiche Oberfläche, Easy Care, 50° waschbar"
"01.1489","Herren Denim Bomber Jacke","100% Baumwoll-Denim-Twill, schwerer Denim, Futter vorne und hinten: 65% Polyester, 35% Baumwolle, Futter Ärmel: 100% Polyester Taffeta®","2X2 Rippstrick an Hals, Ärmel und Bund mit Elasthan, durchgehender Reißverschluss aus Antik-Messing, 2 Taschen mit Druckknopf vorne, aufgesetzte Tasche innen, Futter vervollständigt hochwertige Verarbeitung, Veredelungszugang innen"
"01.1950","Herren 3-Lagen Kapuzen Softshell Jacke","340g/m², Außen: 94% Polyester, 6% Elasthan, Softshell gewebt, atmungsaktive Schichtmembran mit Microporen, Innen: Antipilling Microfleece","Taillierter Schnitt, wasserdicht (5.000mm Wassersäule), abnehmbare Kapuze mit verstellbarem Kordelzug, Ärmelbündchen mit Klettverschluss, durchgehender Reißverschluss mit Kinnschutz, 2 Außentaschen mit Reißverschluss, länger geschnittener Rücken, Veredelungszugang"
"01.2083","Herren Raglan Sweater","300g/m², 75% Baumwolle, 25% Polyester, French Terry (innen nicht angeraut)","Abgesteppte Schnittkante an Kragen, 2x2 Rippstrick an Kragen, Arm- und Saumabschlüssen, Ärmel und Bund, modisch geschnittene und eingenähte Ärmel"
"01.2183","Damen Raglan Sweater","300g/m², 75% Baumwolle, 25% Polyester, French Terry (innen nicht angeraut)","Leicht taillierter Schnitt, weiter Rundhalsausschnitt, 2x2 Rippstrick an Kragen, Arm- und Saumabschlüssen, abgesteppte Schnittkante an Kragen, Ärmeln und Bund"
"01.2275","Herren Slub Sweater","280g/m², 80% Baumwolle, 20% Polyester, French Terry (innen nicht angeraut), Slub Garn","Vintage-Look, 1x1 Rippstrick an Kragen, Arm- und Saumabschlüssen, Raglanärmel"
"01.2375","Damen Slub Sweater","280g/m², 80% Baumwolle, 20% Polyester, French Terry (innen nicht angeraut), Slub Garn","Leicht taillierter Schnitt, Vintage-Look, weiter Rundhalsausschnitt, 1x1 Rippstrick an Kragen, Arm- und Saumabschlüssen, Raglanärmel"
"01.3093","Herren Piqué Medium Fit Polo","180g/m², 100% einlaufvorbehandelte gekämmte ringgesponnene Baumwolle, heather grey: 90% Baumwolle, 10% Viskose","Denim Kragen, Denim 2er Knopfleiste, Nackenband, Ärmel in 1x1 Rippstrick, Metallknöpfe aus Antik-Messing, Steppnähte an Ärmeln und Schultern in Kontrastfarbe, Seitenschlitze mit Denim Band und Steppnaht in Kontrastfarbe"
"01.3193","Damen Piqué Medium Fit Polo","180g/m², 100% einlaufvorbehandelte gekämmte ringgesponnene Baumwolle, heather grey: 90% Baumwolle, 10% Viskose","Denim Kragen, Denim 2er Knopfleiste, Nackenband, Ärmel in 1x1 Rippstrick, Metallknöpfe aus Antik-Messing, Nähte an Ärmel und Schultern in Kontrastfarbe"
"01.7085","Herren Medium Fit T-Shirt","145g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey","Rundhalsausschnitt in gleichem Material, Nackenband, Set-In Ärmel, verdrehte Seitennähte zur Unterstreichung des Färbeeffekts, Ärmelverarbeitung: Umschlag mit Riegelverschluss, Blindstichsaum, Kaltfärbung"
"01.7185","Damen Medium Fit T-Shirt","145g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey","Leicht taillierter Schnitt, schmaler femininer Rundhalsausschnitt in gleichem Material, Nackenband, Set-In Ärmel, Umschlag mit Kurznaht zur Unterstreichung des Färbeeffekts, Blindstichsaum, Kaltfärbung"
"01.7392","Schweres Damen Medium Fit T-Shirt","185g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, Single Jersey","Rundhalsausschnitt in 1x1 Rippstrick, durchgehendes Nacken- und Schulterband mit Doppelkettenstich für mehr Elastizität, Set-In Ärmel, umgeschlagene Ärmel mit einfacher Ziernaht, Blindstichsaum, Indigo Färbung und Denim-Effekt"
"01.8589","Denim Twill Hemd langarm","185g/m², 100% Baumwoll-Denim-Twill, vorgewaschen","Cutaway Kragen, halb verdeckte Knopfleiste, Laschen zum Befestigen der hochgekrempelten Ärmel, 3-fach gesteppte Passe auf Brust und Rücken, abgerundeter Saum, Knöpfe Ton-in-Ton, letztes Knopfloch quer, dekorative Linien mit Mehrfachstich Ton-in-Ton hinten am Kragen"
"01.8689","Denim Twill Bluse langarm","185g/m², 100% Baumwoll-Denim-Twill, vorgewaschen","Femininer Kragen mit größerer Lasche am ersten Knopf und Miniaufnäher aus linksseitig verarbeitetem Denim, Kragen hinten zusammengesetzt aus zwei Teilen, Knopfleiste mit Zickzack-Stich Ton-in-Ton, 2-fach gesteppte Passe vorne an Schulter, 2-Knopf-Manschette, Knöpfe Ton-in-Ton, Zusatzknopf aus Antik-Messing auf linker Stulpe, Abnäher an Brust und Rücken, Zwickel in Kontrastfarbe am seitlichen Blusensaum"
"01.I202","Sweater","270g/m², 50% Baumwolle, 50% Polyester","Gerade angesetzte Ärmel, Rundhalsausschnitt, Ärmelbündchen und Bündchen in 1x1 Rippstrick mit Elasthan, innen angeraut, neutrales Größenlabel"
"01.I203","Kapuzen Sweater","270g/m², 50% Baumwolle, 50% Polyester","Kapuze mit Zugkordel, gerade angesetzte Ärmel, Ärmelbündchen und Bündchen in 1x1 Rippstrick mit Elasthan, Kängurutasche, Seitennähte, innen angeraut, neutrales Größenlabel"
"01.I205","Kapuzen Sweatjacke","270g/m², 50% Baumwolle, 50% Polyester","2-teilige gefütterte Kapuze mit rundem Kordelzug Ton-in-Ton, Ärmelbündchen und Bündchen in 1x1 Rippstrick mit Elasthan, Spiralreißverschluss Ton-in-Ton, Kängurutasche, versetzte Doppelnähte am Armeinlass, innen angeraut, neutrales Größenlabel"
"01.ID01","Piqué Polo","180g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, heather grey: 90% Baumwolle, 10% Viskose","Kragen in flachem 1x1 Rippstrick, 2er Knopfleiste verstärkt mit Knöpfen Ton-in-Ton, Nackenband"
"01.ID02","Sweater","280g/m², 80% Baumwolle, 20% Polyester","Rundstrickware, 1x1 Rippstrick an Kragen, Arm- und Saumabschlüssen mit Elasthan, innen angeraut"
"01.ID03","Kapuzen Sweater","280g/m², 80% Baumwolle, 20% Polyester","Rundstrickware, gefütterte Kapuze mit Kordel, Ärmelbündchen und Bund in 1x1 Rippstrick mit Elasthan, Kängurutasche vorne, Schulternaht und Armausschnitt mit Topstitch-Flachnaht, innen angeraut"
"01.ID04","Sweater mit 1/4 Zip","280g/m², 80% Baumwolle, 20% Polyester","Hoher Kragen in 1x1 Rippstrick mit Elasthan, eingesetzte Ärmel, Ärmelbündchen und Bund in 1x1 Rippstrick mit Elasthan, 1/4 Reißverschluss, verdeckte Verschlussleiste (kein Hautkontakt mit Reißverschluss), innen angeraut"
"01.ID10","Damen Piqué Polo","180g/m², 100% einlaufvorbehandelte ringgesponnene Baumwolle, heather grey: 90% Baumwolle, 10% Viskose","Taillierter Schnitt, flacher Strickkragen, 2er Knopfleiste Ton-in-Ton, Nackenband"
"01.J873","3-in-1 Parka","Außen: 100% Premium Polyesterseide, Innenfutter: 100% Polyester Netz, Ärmelfutter: 100% 190T Polyester Taffeta®, Innenjacke: 100% Antipilling Polyester Microfleece","Wasserabweisend, ergonomische Kapuze im Kragen, ergonomisches Ärmeldesign mit verstellbaren Bündchen, verstellbarer Saum mit Kordelzug, 1 Brusttasche mit Reißverschluss, 2 Einschubtaschen, einzippbare Fleecejacke mit 5-Punkt-Wechselsystem, Veredelungszugang am Rücken, winddicht, geeignet für alle Druck- und Sticktechniken"
"01.TM42","Herren Bio Medium Fit T-Shirt","140g/m², 100% gekämmte ringgesponnene zertifizierte Bio-Baumwolle in Umstellung (in conversion), Single Jersey, sport grey: 90% gekämmte ringgesponnene zertifizierte Bio-Baumwolle in Umstellung (in conversion), 10% Viskose","Taillierter Schnitt, schmaler Rundhalsausschnitt in 1x1 Rippstrick, durchgehendes Nacken- und Schulterband, TearAway Label, neutrales Größenlabel"
"01.TM44","Herren V-Ausschnitt T-Shirt","140g/m², 100% gekämmte ringgesponnene zertifizierte Bio-Baumwolle in Umstellung (in conversion), Single Jersey","Dünner V-Ausschnitt, Nacken- und Schulternähte verstärkt, TearAway Label, neutrales Größenlabel"
"01.TM46","Herren Bio Medium Fit Slub T-Shirt","120g/m², 100% gekämmte ringgesponnene zertifizierte Bio-Baumwolle in Umstellung (in conversion), Single Jersey aus Flammgarn","Taillierter Schnitt, schmal eingefasster Rundhalsausschnitt, durchgehendes Nacken- und Schulterband, TearAway Label, neutrales Größenlabel"
"01.TM55","Herren T-Shirt","130g/m², 50% Polyester, 25% Baumwolle, 25% Viskose, Triblend Single Jersey","Taillierter Schnitt, schmaler Kragen, Ausschnitt- und Schulternähte verstärkt, neutrales Größenlabel"
