"stil","ime_anglescina","opis_materiala_anglescina","opis_artikla_anglescina"
"01.0T83","Twill Blouse long-sleeve","130g/m², 100% combed cotton, twill","Tailored cut with darts on chest, front and back, soft fused feminine collar, square edged adjustable cuff with additional buttonholes for cufflink, rounded hem, matching mother-of-pearl buttons sewn in cross-stich, horizontal last buttonhole, 1 spare button, soft surface, easy care, 50° washable"
"01.0T84","Twill Blouse short-sleeve","130g/m², 100% combed cotton, twill","Tailored cut with darts on chest, front and back, soft fused feminine collar, folded sleeve hem, rounded hem, matching mother-of-pearl buttons sewn in cross-stich, horizontal last buttonhole, 1 spare button, soft surface, easy care, 50° washable"
"01.1489","Men's Denim Bomber Jacket","100% cotton-denim-twill, heavy denim, lining in front and back: 65% polyester, 35% cotton, sleeve lining: 100% polyester Taffeta®","2x2 rib knit on neck, sleeves and hem with elastane, full-length zip made of antique brass, 2 front pockets with press stud, patch pocket inside, lining for a qualitative finishing, decoration access inside"
"01.1950","Men's 3-Layer Hooded Softshell Jacket","340g/m², outside: 94% polyester, 6% elastane, woven softshell, breathable bonded membrane with micro pores, inside: antipilling microfleece","Tailored fit, waterproof (5,000mm water column), detachable hood with adjustable drawstring, cuffs with velcro fastener, full zip with chin guard, 2 outside pockets with zip, longer cut back, decoration access"
"01.2083","Men's Raglan Sweatshirt","300g/m², 75% cotton, 25% polyester, French Terry (not roughened inside)","Quilted raw edge on the collar, 2x2 rib knit on collar, cuffs and hem, sleeves and hem, fashionably cut and sewn-in sleeves"
"01.2183","Ladies' Raglan Sweat","300g/m², 75% cotton, 25% polyester, French Terry (not roughened inside)","Lightly tailored fit, wide round neckline, 2x2 rib knit on collar, cuffs and hem, quilted raw edge on collar, sleeves and hem"
"01.2275","Men's Slub Sweatshirt","280g/m², 80% cotton, 20% polyester, French Terry (not roughened inside), slub yarn","Vintage look, 1x1 rib knit on collar, cuffs and hem, raglan sleeves"
"01.2375","Ladies' Slub Sweatshirt","280g/m², 80% cotton, 20% polyester, French Terry (not roughened inside), slub yarn","Lightly tailored fit, vintage look, wide round neckline, 1x1 rib knit on collar, cuffs and hem, raglan sleeves"
"01.3093","Men's Piqué Medium Fit Polo","180g/m², 100% preshrunk combed ringspun cotton, heather grey: 90% cotton, 10% viscose","Denim collar, denim 2 button-placket, necktape, 1x1 rib sleeves, metal buttons made of antique brass, quilted seams on sleeves and shoulders in contrasting color, side slits with denim ribbon and contrasting quilted seam"
"01.3193","Ladies' Piqué Medium Fit Polo","180g/m², 100% preshrunk combed ringspun cotton, heather grey: 90% cotton, 10% viscose","Denim collar, denim 2 button-placket, necktape, 1x1 rib sleeves, metal buttons made of antique brass, seams on the sleeves and shoulders in contrasting color"
"01.7085","Men's Medium Fit T-Shirt","145g/m², 100% preshrunk ringspun cotton, single jersey","Self-fabric collar, necktape, set-in sleeves, twisted side seams reinforcing dyeing effect perception, sleeve finishing: brim with bartacks, blind stitch hem, with cold dye treatment"
"01.7185","Ladies' Medium Fit T-Shirt","145g/m², 100% preshrunk ringspun cotton, single jersey","Lightly tailored fit, feminine thin self-fabric collar, necktape, set-in sleeves, sleeves finishing: folded with bartacks reinforcing dyeing effect, blind stitch hem, with cold dye treatment"
"01.7392","Heavy Ladies' Medium Fit T-Shirt","185g/m², 100% preshrunk ringspun cotton, single jersey","Round neckline with 1x1 rib knit, troughout neck and shoulder tape with double chain stitch for more elasticity, set-in sleeves, folded cuffs with single needle topstitch, blind stitch hem, indigo dye and denim effect"
"01.8589","Denim Twill Shirt long-sleeve","185g/m², 100% cotton-denim-twill, garment washed","Cut-away collar, semi concealed button-placket, sleeve tab to fasten the rolled up sleeves, 3-way stitched yoke on chest and the back, rounded hem, buttons tone-in-tone, horizontal last buttonhole, decorative multistitch lines tone-in-tone on the back of the collar"
"01.8689","Denim Twill Blouse long-sleeve","185g/m², 100% cotton-denim-twill, garment washed","Feminine collar with an extended flap on first button and mini-patch made of reversed denim, back collar made of two parts, button-placket with zigzag stitch tone-in-tone, 2-way stitched yoke at the front on shoulder, 2-button cuff, buttons tone-in-tone, spare button made of antique brass on the left cuff, darts on chest and back, bottom sides with contrasting gusset"
"01.I202","Sweater","270g/m², 50% cotton, 50% polyester","Straight attached sleeves, round neckline, sleeve cuffs and cuffs in 1x1 rib knit with elastane, roughened inside, neutral size label"
"01.I203","Hooded Sweatshirt","270g/m², 50% cotton, 50% polyester","Hood with drawcord, straight attached sleeves, sleeve cuffs and cuffs with 1x1 rib knit with elastane, kangaroo pocket, side seams, roughened inside, neutral size label"
"01.I205","Hooded Sweat Jacket","270g/m², 50% cotton, 50% polyester","2-part lined hood with round drawstring tone-in-tone, sleeve cuffs and cuffs with 1x1 rib knit with elastane, tone-in-tone coil zip, kangaroo pocket, offset double seams, roughened inside, neutral size label"
"01.ID01","Piqué Polo","180g/m², 100% preshrunk ringspun cotton, heather grey: 90% cotton, 10% viscose","Flat 1x1 rib collar, reinforced 2 button-placket with buttons tone-in-tone, necktape"
"01.ID02","Sweater","280g/m², 80% cotton, 20% polyester","Tubular construction, 1x1 rib knit on collar, cuffs and hem with elastane, roughened inside"
"01.ID03","Hooded Sweatshirt","280g/m², 80% cotton, 20% polyester","Tubular construction, lined hood with cord, 1x1 rib cuffs and hem with elastane, front kangaroo pocket, shoulder seam and armholes with flatlock topstitch, roughened inside"
"01.ID04","Sweater with 1/4 Zip","280g/m², 80% cotton, 20% polyester","High collar in 1x1 rib knit with elastane, set in sleeves, 1x1 rib cuffs and hem with elastane, 1/4 zip, concealed placket (no skin contact with zip), roughened inside"
"01.ID10","Ladies' Piqué Polo","180g/m², 100% preshrunk ringspun cotton, heather grey: 90% cotton, 10% viscose","Tailored fit, flat knitted collar, 2 button-placket tone-in-tone, necktape"
"01.J873","3-in-1 Parka","Outside: 100% premium polyester silk, inner lining: 100% polyester mesh, sleeve lining: 100% 190T polyester Taffeta®, inner jacket: 100% antipilling polyester microfleece","Water repellent, ergonomic hood in the collar, ergonomic sleeve design with adjustable cuffs, adjustable hem with drawstring, 1 breast pocket with zip, 2 slide-in pockets, zip-in fleece jacket with 5-point change system, decoration access at the back, windproof, suitable for all printing and embroidery techniques"
"01.TM42","Men's Organic Medium Fit T-Shirt","140g/m², 100% combed ringspun certified organic cotton in conversion, single jersey, sport grey: 90% combed ringspun certified organic cotton in conversion, 10% viscose","Tailored fit, narrow round neckline with 1x1 rib, continuous neck and shoulder tape, TearAway label, neutral size label"
"01.TM44","Men's V-Neck T-Shirt","140g/m², 100% combed ringspun certified organic cotton in conversion, single jersey","Thin V-neck, reinforced neck and shoulder seams, TearAway label, neutral size label"
"01.TM46","Men's Organic Medium Fit Slub T-Shirt","120g/m², 100% combed ringspun certified organic cotton in conversion, single jersey made of slub yarn","Tailored fit, narrow edged round neckline, continuous neck and shoulder tape, TearAway label, neutral size label"
"01.TM55","Men's T-Shirt","130g/m², 50% polyester, 25% cotton, 25% viscose, triblend single jersey","Tailored fit, narrow collar, reinforced neckline and shoulder seams, neutral size label"
"01.TM70","Men's T-Shirt long-sleeve","140g/m², 100% combed ringspun certified organic cotton in conversion, single jersey, sport grey: 90% combed ringspun certified organic cotton in conversion, 10% viscose","Tailored fit, narrow neckline in rib knit, reinforced neckline and shoulder seams, TearAway label, neutral size label"
"01.TM72","Men's Tank Top","140g/m², 100% combed ringspun certified organic cotton in conversion, single jersey, sport grey: 90% combed ringspun certified organic cotton in conversion, 10% viscose","Tailored fit, edged neckline, TearAway label, neutral size label"
"01.TW43","Ladies' Organic Medium Fit T-Shirt","140g/m², 100% combed ringspun certified organic cotton in conversion, single jersey, sport grey: 90% combed ringspun certified organic cotton in conversion, 10% viscose","Feminine fit, narrow round neckline with 1x1 rib, continuous neck and shoulder tape, TearAway label, neutral size label"
"01.TW45","Ladies' V-Neck T-Shirt","140g/m², 100% combed ringspun certified organic cotton in conversion, single jersey","Thin V-neck, reinforced neck and shoulder seams, TearAway label, neutral size label"
"01.TW47","Ladies' Organic Medium Fit Slub T-Shirt","120g/m², 100% combed ringspun certified organic cotton in conversion, single jersey made of slub yarn","Feminine fit, narrow edged round neckline, continuous neck and shoulder tape, TearAway label, neutral size label"
"01.TW56","Ladies' T-Shirt","130g/m², 50% polyester, 25% cotton, 25% viscose, triblend single jersey","Tailored fit, narrow collar, reinforced neckline and shoulder seams, neutral size label"
"01.TW71","Ladies' T-Shirt long-sleeve","140g/m², 100% combed ringspun certified organic cotton in conversion, single jersey, sport grey: 90% combed ringspun certified organic cotton in conversion, 10% viscose","Feminine fit, narrow neckline in rib knit, reinforced neckline and shoulder seams, TearAway label, neutral size label"
"01.TW73","Ladies' Tank Top","140g/m², 100% combed ringspun certified organic cotton in conversion, single jersey, sport grey: 90% combed ringspun certified organic cotton in conversion, 10% viscose","Feminine fit, narrow lined collar, TearAway label, neutral size label"
"01.U01B","Men's T-Shirt","145g/m², 100% pre-shrunk combed ringspun certified organic cotton in conversion, heather grey: 90% pre-shrunk combed ringspun certified organic cotton in conversion, 10% viscose","Ongoing product update in progress, previous version: visible label with inscription ""Hi! I'm Organic"", straight cut, tubular construction, narrow round neckline in rib knit, necktape, neutral size label, TearAway label in back bottom hem"
"01.U01K","Men's Sweater","280g/m², 80% preshrunk combed ringspun more sustainable cotton, 20% polyester, heather grey: 75% preshrunk combed ringspun more sustainable cotton, 21% polyester, 4% viscose, heather mid grey: 60% preshrunk combed ringspun more sustainable cotton, 40% polyester","Straight cut, durable necktape, single jersey halfmoon on back, PST-yarn technology, roughened inside, ultimate printing surface thanks to 100% cotton-faced fabric, soft double satin label"
"01.U01W","Men's Sweater","280g/m², 80% preshrunk ringspun cotton, 20% polyester, heather grey: 92% cotton, 8% viscose, other heather colors: 60% cotton, 40% polyester, French Terry (not roughened inside)","Straight cut, classic roundneck sweatshirt, single jersey halfmoon on inner back, optimal printing surface, neutral size label"
"01.U02K","Men's Hooded Sweatshirt","280g/m², 80% preshrunk combed ringspun more sustainable cotton, 20% polyester, heather grey: 75% preshrunk combed ringspun more sustainable cotton, 21% polyester, 4% viscose, heather mid grey: 60% preshrunk combed ringspun more sustainable cotton, 40% polyester","Straight cut, hood with single jersey lining, flat cords with metal tips, necktape, single jersey halfmoon on back, PST-yarn technology, surface made of 100% cotton, roughened inside, double satin label"
"01.U03K","Men's Hooded Sweat Jacket","280g/m², 80% preshrunk combed ringspun more sustainable cotton, 20% polyester, heather grey: 75% preshrunk combed ringspun more sustainable cotton, 21% polyester, 4% viscose, heather mid grey: 60% preshrunk combed ringspun more sustainable cotton, 40% polyester","Straight cut, hood with single jersey lining, flat cords with metal tips, necktape, concealed metal zip, single jersey halfmoon on back, PST-yarn technology, surface made of 100% cotton, roughened inside, double satin label"
"01.U03W","Men's Hooded Sweatshirt","280g/m², 80% preshrunk ringspun cotton, 20% polyester, heather grey: 92% cotton, 8% viscose, other heather colors: 60% cotton, 40% polyester, French Terry (not roughened inside)","Straight cut, single jersey halfmoon on inner back, neutral size label"
"01.U31B","Men's Sweater","280g/m², 80% pre-shrunk combed ringspun certified organic cotton in conversion, 20% recycled polyester, heather grey: 71% pre-shrunk combed ringspun certified organic cotton in conversion, 25% recycled polyester, 4% viscose, French Terry (not roughened inside)","Ongoing product update in progress, previous version: visible label with inscription ""Hi! I'm Organic"", straight cut, herringbone necktape, single jersey halfmoon on inner back, surface made of 100% cotton, TearAway label in side seam, neutral size label"
